GENERAL,Unnamed: 1,General Notes ,Unnamed: 3,Unnamed: 4,GSP Information,Answer,Unnamed: 7,Unnamed: 8,Unnamed: 9
PROJECTS & MANAGEMENT ACTIONS,,Environment,2,Does the GSP include any recharge projects with explicit benefits to the environment?,"recharge, managed aquifer recharge, MAR, multi-benefit recharge",No,"Surface water or imported water supply used or available for use, for groundwater recharge or in-lieu use shall be reported based on quantitative data that describes the annual volume and sources for the preceding water year.

The purpose of this study is to reduce uncertainty regarding the riparian habitat and ultimately to improve the MT and protect groundwater-dependent ecosystems. The study may involve field biological surveys, review of historical surface flows, review of historical photographs and remote sensing data, and investigation into evapotranspiration and root depth of riparian vegetation in and around Temescal Wash. It is anticipated that the work may result in recommendations for future monitoring protocols and permitting requirements for installation of piezometers or drive points close to the wash itself.","8-2 / 8.1
8-4 / 8.6",It is not explicitly for the benefit of the enviornment and they don't mention it/No specific mentions of projects/management actions that will use recharge
,,Environment,2,"Does the GSP include any habitat or stream restoration or invasive species removal projects (e.g., to improve water supply in the basin or GDE habitats)?","invasive species, habitat",No,,,"a search of invasive, habitat, and restoration did not produce results that signaled any projects will be implemented for the basin to support GDEs"
,,All,1,"Does the GSP identify benefits or impacts of identified projects and management actions to key beneficial users such as GDEs, drinking water users, tribes, DACs?","beneficial users, environment, GDE, DAC, trib*",Somewhat,"The purpose of this study is to reduce uncertainty regarding the riparian habitat and ultimately to improve the MT and protect groundwater-dependent ecosystems. The study may involve field biological surveys, review of historical surface flows, review of historical photographs and remote sensing data, and investigation into evapotranspiration and root depth of riparian vegetation in and around Temescal Wash. It is anticipated that the work may result in recommendations for future monitoring protocols and permitting requirements for installation of piezometers or drive points close to the wash itself.&&&
As noted in Section 6.7.8, there are several data gaps related to depletions of interconnected surface water along Temescal Wash. Data gaps include lack of water level data in certain areas, lack of dedicated monitoring (vs. production) wells, lack of wells within or near the wash channel, and uncertainty regarding vertical gradients. The objective of Project 1 is to address this data gap and improve protection of a potentially groundwater-dependent ecosystem (GDE) along Temescal Wash.&&&
Water quality monitoring will be implemented once the GSP is adopted. The minimum threshold for nitrate is defined as 5- year average concentrations (Subbasin-wide) not exceeding the 10 mg/L drinking water MCL for Nitrate as Nitrogen. The minimum threshold for TDS is defined as 5-year average concentrations (Subbasin-wide) not exceeding the 1,000 mg/L Secondary MCL for TDS. If significant upward concentration trends toward the minimum thresholds are observed in areas that contribute to potable supply, the GSA will coordinate with the Regional Water Quality Control Board as appropriate..","8-4 / 8.6
Table 8-3","NO mention of Tribes, DAC, They do consider benefits to GDE and waterquality control"
,,DACs,2,Does the GSP include any recharge projects with explicit benefits to DACs?,"recharge, managed aquifer recharge, MAR",Not Applicable,,,
,,DACs / Drinking Water,,Does the GSP include a drinking water well mitigation program to avoid significiant and unreasonable loss of drinking water?,"drinking water, well mitigation program",No,,,"They chose NA for ""If overdraft conditions are identified through the analysis required by Section 354.18, the Plan shall describe projects or management actions, including a quantification of demand reduction or other methods, for the mitigation of overdraft."""
,,DACs,1,Does the GSP identify potential impacts to water quality from Projects and Management Actions?,"water quality, disadvantaged communit*, DAC",Somewhat,"PROJECT 3 – EVALUATION OF THE EFFECTS OF AGGREGATE PITS ON GROUNDWATER FLOW AND QUALITY:Groundwater modeling conducted as part of the GSP development (Section 5 and AppendixE) and groundwater sampling from wells near the pits suggest that the pits may have an effect on the local water budget and on groundwater quality in ways that are not completely understood. For example, model calibration efforts suggest consumptive use near the pits is higher than recorded pumping of adjacent wells, and the Corona Well 21 was shut down due to a high heterotrophic plate count (a measure of bacteria in water), potentially as a result of groundwater under the influence of surface water from the aggregate pits.
Therefore, to improve further modeling involving aggregate mines or simulation of proposed stormwater capture in the mines, a project is proposed to evaluate and improve the hydrogeologic conceptual model in the vicinity of the mines. The BCGSA will initiate the investigations after adoption of the GSP by issuing an RFP to qualified firms. Although details of the study of aggregate mining’s effect on groundwater are yet to be determined, it is anticipated that the study may involve detailed review of the aggregate pit water budget (pumping, evapotranspiration, precipitation, and surface water flow infiltration), historical remote sensing images, historical hydrograph and streamflow information review, monitoring well construction, and/or interviews with local mine managers.", pgs 8-5; 8-6 / 8.8,"They are not sure about the details on aggregate minning on water quality, but they have proposed a project to evaluate it"
OTHER,,,,Does the GSP have plans to use Open ET to monitor groundwater extractions from agriculture?,OpenET,No,,,
,,,,Does the GSP have plans to install meters on wells in the basin?,meters,No,,,
,,,,"Does the GSP have plans to implement demand reduction (e.g., pumping cuts) in the basin to achieve sustainability?","demand, demand reduction, pumping cuts, demand management",No,"If overdraft conditions are identified through the analysis required by Section 354.18, the Plan shall describe projects or management actions, including a quantification of demand reduction or other methods, for the mitigation of overdraft.","pg 18, Appendix C","They don't have plans but the ""shall"" add it if overdraft conditions are identified"
,,,,"Does the GSP have plans to implement supply augmentation (e.g., recharge projects, desalinating brackish groundwater) in the basin to achieve sustainability?","recharge, managed aquifer recharge, MAR, desalin*, brackish groundwater",No,"This GSP avoids management actions that would spread groundwater contamination through managed aquifer recharge, pumping, or other activities",6-25 / 6.6.2,
,,,,"Do they evaluate whether Project and Management Actions close the gap for current and projected sustainable yield (e.g., overdraft as compared to the projected sustainable yield)? ","sustainable yield, overdraft, balance",No,,Section 8,"Not really clear evaluation provided of whether they will close the gap of current and projected sustainable yield -- most actions are more for addressing data gaps, eg: evaluating effects of aggregate pits on groundwater flow and quality; survey private wells; investigate groundwater/surface interaciton; review inSAR data; track trends in groundwater levels; monitor groundwater quality; record groundwater levels; provide for collection, compilation, and storate"
,,,,Does the GSP reference / propose any new water markets in the basin?,water market,No,,,
,,,,"Does the GSP identify the potential impact of climate change on obtaining/crossing thresholds for Sustainable Management Criteria (e.g., as a driver of undesirable result or potential reason for crossing a minimum threshold)?",climate change,No,"Growth Plus Climate Change Scenario - This scenario implements anticipated changes in land use and associated water use, such as urban expansion, and anticipated effects of future climate change on local hydrology (rainfall recharge and stream percolation) and on the availability of imported water supplies",Pg 36 Appendix E / 6.2,Climate change not considered as potential driver of effects to sustainable management criteria.
,,,,"Does the GSP includes details on coordination with water quality control programs (e.g., Regional Water Quality Control Board, CV-Salts)?","Regional Water Quality Control Board (RWQCB), CV-Salts",Yes,"Water quality. Groundwater quality in the Basin is monitored by the BCGSA agencies and Glen Ivy Hot Springs for compliance with State Water Resources Board Division of Drinking Water (DDW) requirements, and by facilities regulated by the Santa Ana Regional Water Quality Control Board (RWQCB). Section 7 of this GSP documents the BCGSA monitoring network including how these objectives are met, descriptions of how each sustainability criteria will be monitored, and protocols for measurements.

The BCGSA administrator will note trends in groundwater quality, and the BCGSA will coordinate with the Regional Water Quality Control Board as appropriate if a trend toward the MT is observed. The BCGSA administrator will be responsible for compiling groundwater quality data and adding itto the GSA Data Management System (DMS) in standardized format.","2-7 / 2.1.4.1
8-3 / 8.3",
