Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Becky,,,Environment,2,"In the case of data gaps and uncertainty, were potential GDEs mapped and described in the GSP?","Potential GDEs are not mapped or described in plan  = no
Vague description of potential GDEs and/or no map; wrong methods for assuming non-GDEs = somewhat
Potential GDEs are clearly acknowledged and mapped. = yes","potential groundwater dependent ecosystem, potential GDE, potential groundwater-dependent ecosystem, data gap",Somewhat,"Mapped potential GDEs were characterized based on the percentage of season and year representations when vegetation with their assumed rooting zone depth would reasonably have access to groundwater. Areas with assumed vegetation that appear to have access to groundwater for greater than 50%of the period of record are assumed to be “likely connected” to groundwater. Similarly, areas with assumed vegetation and rooting zone depths that appear to have access to groundwater for less than 50% of the period of record are assumed to be “likely disconnected” from groundwater. A summary of this classification is presented in Table 28. The relative percentage of seasons when mapped potential GDEs are assumed to have access to groundwater is presented in Figures 70. The distribution of classified GDEs for the Ukiah basin is presented in Figures 71.",Page 171 / 2.2.2.7; Figure 71,"1. Is there a map AND description of pGDEs? somewhat - Assumed GDEs (vegetation in GDEs has access to groundwater >50% of time) and assumed not GDE (vegetation in GDEs has access to groundwater <50%) were described in the text. FIgure 71 presents the pGDEs.  While potential GDEs are mapped and described, GDEs should not be considered ""assumed disconnected"" if there is any connection to groundwater (regardless of temporal percentrage), especially considereing the lack of fine-scale temporal data in the analysis (every 6 months).",,
Lauren,,Water Budget,Ecosystems,1,"Does the GSP include water demands for native vegetation in the historic, current, and projected water budgets?","No: No mention of evapotranspiration for the water budget
Somewhat: Numerical models that include different land cover classes in evapotranspiration 
Yes: Riparian Evapotranspiration separated out in the water budget charts or tables ","water budget, native vegetation, phreatophyte",No,,,"1. Is the water budget made with a spreadsheet model or numerical model? Numerical
2. Is there a line for Native Veg ET in the water budget? No

Native vegetation is mentioned in land uses but is not included in water demands for any of the water budgets. However this could be a yes, potentially, but would have to see the Appendix 2-D for their water budget calculations and assumptions, which was not yet published",,
Lauren,,,Ecosystems,1,"Does the GSP include water demands for managed wetlands in the historic, current, and projected water budgets?","No: No line item or description of managed wetlands’ water demands in water budgets even if wetlands are discussed in other areas of GSP. No mention of managed wetlands in GSP.  
Somewhat: Managed wetlands are part of the numerical model or spreadsheet model assumptions but not included as a separate line item
Yes: Separate line item for managed wetlands in water budgets","water budget, managed wetlands",No,,,"1. Is the water budget made with a spreadsheet model or numerical model? Numerical
2. Is there a line for Managed Wetlands in the water budget? No

Managed wetlands are not mentioned in any of the land use or water budget sections",,
Lauren,,,Climate Change,1,"Does the GSP incorporate climate change into the projected water budget using DWR change factors or other source? If other, please specify in the Notes. If DWR change factors were used, indicate in the Notes whether the GSP use 2030 factors, 2070 factors, or both?","No: Climate change not incorporated into projected water budget
Somewhat: Use a different climate model other than DWR change factors but description of methodology is unclear
Yes: Climate change is incorporated and methods are clearly stated","water budget, climate change, change factors, 2030, 2070",Yes,"SGMA regulations also require GSAs to assess and consider the impacts of climate change in their projected water budgets. DWR has provided climate change data in the formof spatially and temporally distributed precipitation and evapotranspiration multipliers for 2030 and 2070 central tendency scenarios and two extreme  scenarios reflecting drier conditions with extreme warming and wetter conditions with moderate warming, respectively. The two 2030 and 2070 central tendency scenarios were used in this GSP to summarize potential impacts of climate change on the projected water budget and other sustainability indicators.",179 / 2.2.3,"1. Is climate change incorporated? Yes
2. Do they use DWR change factors (climate period analysis), transitory analysis or something else (describe)? DWR Factors
3. If using DWR climate change factors, do they use 2030, 2070 or both? 2030 and 2070",,
Lauren,,,Climate Change,1,"Does the GSP consider multiple climate scenarios (e.g., the 2070 wet and 2070 extremely dry) scenarios in the projected water budget? If there are other scenarios considered in the GSP, please specify in the Notes.","No: Only one climate scenario used
Somewhat: no somewhat for this question
Yes: Multiple climate scenarios used (wet / extremely dry) and provided in projected water budget","projected water budget, 2070",No,The two 2030 and 2070 central tendency scenarios were used in this GSP to summarize potential impacts of climate change on the projected water budget and other sustainability indicators.,179 / 2.2.3,"1. If they use DWR climate change factors, which scenarios do they use? Only central tendency 
2. If other than DWR factors, which combination(s) of RCP and GCM do they use? NA
3. If other than DWR factors, do they use an ensemble of models or single model run? NA

",,
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into precipitation inputs for the projected water budget?,"No: Precipitation not adjusted for climate change in inputs for projected water budget
Somewhat: no somewhat for this question
Yes: Precipitation adjusted for climate change either through change factors or other model projections for the projected water budget","projected water budget, precipitation, input",Yes,"Water budget estimates provided in this Section are calculated using the UVIHM model. UVIHM uses the USGS GSFLOW modeling software that is an integrated surface water and groundwater model combining the functionalities of PRMS and MODFLOW models. A detailed discussion of the UVIHM and its components, its setup and calibration processes, inputs, outputs, and final results are provided in Appendix 2-D. The UVIHM covers the entire upper Russian River watershed encompassing the Basin(Figure 72). This includes the entire upper Russian River, water entering the watershed from the Potter Valley Project, and water released from the Coyote Valley Dam and Lake Mendocino. The extent of the modeled area ends and drains around the City of Hopland. The UVIHM was calibrated using measured groundwater level data from CASGEM monitoring program, streamflow data from three USGS gages, and solar radiation data from one CIMIS station. A brief overview of water budget components and an indication of if the component is a model input or output are summarized in Table 29. Model input data shown in Table 29 were gathered from various existing and available public data sources, as shown in Table 30. Further refinement of the model and results were made based on local and stakeholder input and local and regional observations.

From Table 29: 
Measured precipitation from weather gages spatially distributed by PRMS precipitation distribution module. Similar precipitation and distribution method is used for historical and future budget. Climate change scenarios use spatially distributed precipitation multiplied by change factors produced for DWR climate change scenarios.","179 / 2.2.3
Table 29",,,
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into evapotranspiration inputs for the projected water budget?,"No: Evapotranspiration not adjusted for climate change in projected water budget inputs
Somewhat: no somewhat for this question
Yes: Evapotranspiration adjusted for climate change either through change factors or other model projections in projected water budgets","projected water budget, evapotranspiration, ET, input",Yes,"From Table 29: Measured and gaged temperature is spatially distributed by PRMS temperature distribution module. Potential ET is simulated by PRMS using temperature and solar radiation. Solar radiation is calculated by PRMS and calibrated based on measured and gaged date. Actual ET is modeled by the model. For agricultural fields, soil zone ET is simulated using same data, reference evaporation from CIMIS gage, and appropriate crop coefficients by the IDC model. ET for climate change scenarios uses the historical and future simulations and multiplies them by change factors provided for DWR climate change scenarios.","179 / 2.2.3
Table 29",,,
Lauren,,,Climate Change,2,"Does the GSP incorporate climate change into surface water flow inputs (e.g., imported water, streamflow) for the projected water budget?","No: Surface water inputs are not accounted for in projected water budgets
Somewhat: CC in surface water flows, BUT imported water not adjusted 
Yes: Surface water flows adjusted for climate change (DWR change factors for spreadsheet model, modeled with adjusted precip and ET for numerical model) and if there is imported water, it is adjusted as well.","projected water budget, surface water flow, input",Yes,,Table 29,"1. Is the water budget made with a numerical model or spreadsheet model? Numerical
(Note: if numerical model, streamflow accounts for CC if precip and ET are adjusted)
2. If spreadsheet, are DWR surface water change factors included? NA
3. Is there imported water in the water budget? Is this adjusted for climate change? NA

Stream recharge, Flow from area upstream of basin, overland runoff, subsurface outflows all calibrated by model according to Table 29. 
Note, the GSP does not include Appendix 2-D which details the model and this should be included so that we can better understand what they are modeling. ",,
Lauren,,,Climate Change,2,Does the GSP incorporate climate change into sea level inputs for the projected water budget?,"No: Does not mention or apply sea level rise into projected water budget though located in vicinity of coastal region
Somewhat: no somewhat for this question
Yes: Clear sea level rise projections under climate change incorporated into projected water budget","projected water budget, sea level, input",Not Applicable,,,,,
Lauren,,,Climate Change,2,Does the GSP calculate a sustainable yield based on the projected water budget with climate change incorporated?,"No: Sustainable yield not provided or is not calculated based on projected water budget with climate change
Yes: Sustainable yield is calculated based on projected water budget with climate change (ranges based on different future scenarios is OK)","sustainable yield, projected water budget",No,"The sustainable yield “means the maximum quantity of water, calculated over a base period representative of long-term conditions in the Basin and including any temporary surplus, that can be withdrawn annually from a groundwater supply without causing an undesirable result.” (California Water Code Section 10721). The Sustainable Groundwater Management Act explicitly makes the sustainable yield a function of long term conditions and of the conditions causing undesirable results. The sustainable yield in the Basin is not equal to the historic 1992 – 2018 average groundwater pumping, since those conditions have not resulted in overdraft. Water levels and groundwater storage have been in a dynamic equilibrium with inflows to and outflows from the aquifer system, with no significant, discernable negative trend in water levels or groundwater storage. Also, the sustainable yield cannot be defined for the Basin as a single number that is constant over time, as future conditions may decrease or increase the amount of groundwater that can be withdrawn without causing undesirable results. For example, modeling of climate change scenarios suggested that the overall budget may become smaller through reductions in deep percolation and stream recharge. Therefore, less water and storage may be available in the long term, and continuing the same amount of pumping may not be a sustainable practice in the far future. In contrast, implementation of projects and management actions such as managed aquifer recharge that increase recharge and water availability may increase the ability to pump without causing undesirable results in the Basin. In both conditions, sustainable yield needs to be adjusted to maintain sustainable management of the Basin.
In addition, in the Ukiah Valley Basin, protecting against depletion of interconnected surface waters and impacts on GDEs warrants the addition of a spatial and possibly hydrogeological component to the sustainable yield. In other words, a single sustainable yield number may lead to different impacts if the pumping patterns differ significantly. For example, if the majority of the pumping occurs close to surface water bodies, mainly the mainstem Russian River, and from the shallower aquifers, significant and unreasonable depletion of ISWs and impacts to GDEs are more likely to be observed than when pumping is well distributed and withdrawings from deeper depths.
Exploratory pumping scenarios can be modeled by the UVIHM to project the sustainable yield of the Basin. However, considering the current availability of data and information and the uncertainty in UVIHM projections due to the unpredictability of the future conditions (climate change, land use and crop changes, population growth, etc. ) and data gaps, such estimation will be more accurate upon collection of additional data in the Basin. According to the SGMA definition, the sustainable yield for the Basin is estimated to be at least 6,500 acre feet, based on the average groundwater pumping of the historical period. The sustainable yield of the basin may be greater than 6,500 with the current conditions persisting, but cannot be estimated based on the available historical record. Therefore, it is recommended that the sustainability of the Basin is not determined based on the sustainable yield, but rather based on the tracking of sustainable management criteria. During the implementation of the GSP and the future, the sustainable yield will be this number plus any additional storage or increase in water availability provided by the implementation of the PMAs. GSAhas several PMAs defined in Chapter 4 under supply augmentation and other management actions categories that may reduce groundwater withdrawal and/or increase the available storage in the basin. These projects may increase the sustainable yield of the Basin upon implementation.",202 / 2.2.3,Sustainable yield isnt really calculated or used to determine the basin's sustainability according to their Projected Sustainable Yield section. ,,
Sara,SUSTAINABLE MANAGEMENT CRITERIA,Undesirable Results,Domestic,1,Does the GSP analyze direct or indirect impacts on domestic drinking wells when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels and 2) Water Quality (See line 24)?,"NO: no mention Somewhat: explicit mention of drinking water users, but not well analyzed; mention impact on one of the UR, mentioning some of the COCs. YES: clear impact on drinking water users & explanation of all COCs","domestic well, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",Somewhat,"1. percentage of impacted domestic, agricultural, or public wells exceeds 5%&&& Municipal Drinking Water Users – Undesirable results due to declining groundwater levels can adversely affect current and projected municipal users, causing increased costs for potable water supplies.
 • Rural and/or Agricultural Residential Drinking Water Users – Seasonal low groundwater  levels can cause shallow domestic and stock wells to go dry, which may cause seasonal well outages and restrict water access during periods of highest crop or pasture water demand and stock watering demand.&&&& Municipal DrinkingWater Users – Under California law, agencies that provide drinking water are required to routinely sample groundwater from their wells and compare the results to state and federal drinking water standards for individual chemicals. Groundwater quality that does not meet state drinking water standards may render the water unusable or may cause increased costs for treatment. For municipal suppliers, impacted wells potentially may be taken offline until a solution is found, depending on the configuration of the municipal system in question. Where this temporary solution is feasible, it will add stress to and decrease the reliability of the overall system. • Rural and/or Agricultural Residential Drinking Water Users – Residential structures not located within the service areas of the local municipal water agency will typically have private domestic groundwater wells. Such wells may not be monitored routinely and groundwater quality from those wells may be unknown unless the landowner has initiated testing and shared the data with other entities. Degraded water quality in such wells can lead to rural residential use of groundwater that does not meet potable water standards and results in the need for installation of new or modified domestic wells and/or well-head treatment that will provide groundwater of acceptable quality.
","Page 20 / 3.4.2
Page 22 / 3.4.2.2
Page 44 / 3.7.2.2","1. Do they mention Drinking water users for UR? Yes
2. Which URs mention Drinking Water Users? GW elevation, gw quality
3. Are impacts to Drinking Water users well analyzed? (mention well elevation and quality impacts) Somewhat, they haven't added COC's. They also have Appendix 3A Shallow well protection memorandum for evaluating GW elevation.
4. Are all impacts of all COCs described? No

They do mention drinking water users, direct impact on : 1:chronic lowering of GW 2- gw quality section they don't mention any of the COC's specifically, they refer it back to question 24 section.",,
Martha/Sara,,,DACs,1,"Does the GSP analyze direct and indirect impacts on DACs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","NO: no mention of DACs Somewhat: mention DACs, but not well analyzed Yes: impacts to DACs analyzed and described (describe impact to DAC well elevations/quality)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,,,"1. 1. Do they mention DACs for UR? No mention of DAC
2. Which URs mention DACs? NA
3. Are impacts to DACs well analyzed? NA

",,
Martha/Sara,,,Tribes,1,"Does the GSP analyze direct and indirect impacts on Tribes when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality (see line 24), and 3) Depletions of Interconnected Surface Waters?","NO: no mention of Tribes 
Somewhat: mention Tribes, but not well analyzed
Yes: impacts to tribes analyzed and described (describe impact to Tribal wells/elevations)","disadvantaged communit*, DAC, tribal, tribe, drinking water, undesirable result, groundwater levels, water quality, groundwater quality",No,"Categories of beneficial uses of groundwater in the North Coast Region, as listed in the Basin Plan, include municipal and domestic supply, agricultural supply, industrial supply, aquaculture, and Native American culture. Specific uses of groundwater in the Basin include groundwater use for irrigation in agriculture, a significant part of the local economy, as stock water, and as a municipal and domestic water source. Importantly, beneficial uses also include ground water dependent ecosystems and instream habitat where and when groundwater contributes to streamflow.",Page 36 / 3.7,"1. Do they mention Tribes for UR? No, broadly mention beneficial users
2. Which URs mention Tribes? NA
3. Are impacts to Tribes well analyzed? NA

They do consider Native american Culture as beneficial users, but it is not clear in which category they consider the impact on Tribes",,
Becky/Sara,,,Ecosystems,1,"Does the GSP analyze direct and indirect impacts on GDEs when defining Undesirable Results for 1) Chronic Lowering of Groundwater Levels, 2) Water Quality, and 3) Depletions of Interconnected Surface Waters?","NO: no mention of GDEs Somewhat: mention GDEs, but not well analyzed; only for 1 or 2 URs Yes: impacts to GDEs analyzed and described ( impacts to specific species - cause and effect ecosystem, e.g. dieback, impacts to habitat)","groundwater dependent ecosystem, GDE, groundwater-dependent ecosystem, instream, environment, undesirable result, groundwater levels, water quality, groundwater quality, depletion of surface water, ISW",Yes,"Chronic lowering of GW: percentage decrease in connected GDE area exceeds 20% compared to the reference year &&& Environmental Uses – The magnitude and direction of depletions of ISW depend on hydraulic gradients between the surface water and adjacent groundwater. Hence, lowering groundwater levels that propagate to streams may steepen hydraulic gradients and cause additional depletions of ISW that reduce in-stream flows, prevent salmonid migration, impact riparian ecosystems, and reduce surface water availability for downstream beneficial users of surface water with riparian or appropriative surface water rights. GDEs are “ecological communities or species that depend on groundwater emerging from aquifers or on groundwater occurring near the ground surface” (23 CCR § 354.24(m)). Hence, lowering groundwater levels may disconnect vegetative GDEs from saturated groundwater or reduce baseflow to streams that depend on groundwater baseflow (especially during dry months), thus impacting riparian ecosystems and aquatic species associated with GDEs. &&& Environmental Uses – Poor quality groundwater may result in the migration of contaminants that could affect groundwater dependent ecosystems or instream environments and their resident species. Poor quality groundwater may also add nutrients to water bodies that produce adverse ecological effects, including eutrophication.&&& Environmental Land Uses and Land Users – depletions of interconnected surface water may negatively affect the following: near-streamhabitats for plant and animal species; instreamecosys tems, including habitat necessary for reproduction, development, and migration of fish and other aquatic organisms; terrestrial ecosystems reliant on surface water; and wildlife that rely on surface waters as a food or water source. Additionally, low flow conditions can result in increased stream temperature that can be inhospitable to aquatic organisms, including anadromous fish.","Page 23 / 3.4.2.2
Page 44 / 3.7.2.2
Page 67 / 3.9.2.2","1. Do they mention GDEs for UR? Yes
2. Which URs mention GDEs? GW elevations, GW quality, ISW
3. Are impacts to GDEs well analyzed? Yes

They do analyse impact on GDE for :chronic lowering of GW, groundwater quality and ISW",,
Sara,,Minimum Thresholds,All,2,Does the GSP establish Water Quality minimum thresholds and measurable objectives for any identified constituents/contaminents identified in the plan area (see line 24)? Please identify which constituents have Minimum Thresholds and Measurable Objectives in the Notes.,No - none Somewhat - only some COCs Yes - both,"minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"Maximum thresholds for groundwater quality in the Basin were defined using existing groundwater quality data, beneficial uses of groundwater in the Basin, existing regulations, including water quality objectives under the Basin Plan, Title 22 Primary and Secondary MCLs, and consultation with the GSA advisory committee and stakeholders (see Section 2.2.3). As a result of this process, five COIs were defined in the Basin: boron, iron, manganese, nitrate, and specific conductivity. Concentrations of each of these five constituents were obtained from existing data derived from existing monitoring programs. From these five constituents, boron, iron, and manganese are known to be naturally occurring in the basin at higher concentrations than their water quality objectives. Therefore, they will be monitored as part of the monitoring network and results will be communicated with appropriate regulatory entities. However, sustainable management criteria are not set for boron, iron, and manganese since their concentrations are not representative of the general water quality of the Basin and are impacted significantly by natural processes and local geological conditions that are not controllable by the GSA. Maximum thresholds for the other two COIs (nitrate and specific conductivity) are set at the Primary (nitrate as N) or Secondary (specific conductivity) MCLs established in Title 22 of the California Code of Regulations(Table 6).","Page 45 / 3.7.3
Table 6 / Page 45
Figure 6","1. Are MT and MO set for COCs? Yes
2. Do they set MT and MO for all COCs? No

They have set MT and MO for nitrate and specific conductivity. The MO set for MO is higher than MT, however still lower than MCL. They haven't set MT and MO for other constitutes since they are naturally occuring (Iron, Manganese, boron), but they should be setting MT and MO for those, even if they are naturally occuring.",,
Sara ,,,All,2,Are Water Quality minimum thresholds based on or within the Maximum Contaminent levels (MCLs)? Answer Yes = for identified constituents; Somewhat = for some of the identified constituents; No = none of the identified constituents; Not Applicable should never be an answer for this question.,No - none Somewhat - only some COCs Yes - both,"maximum contaminent level, MCL, minimum threshold, water quality, groundwater quality, contaminent, constituent of concern, COC",Yes,Maximum thresholds for the other two COIs (nitrate and specific conductivity) are set at the Primary (nitrate as N) or Secondary (specific conductivity) MCLs established in Title 22 of the California Code of Regulations(Table 6).,"Page 45 / 3.7.3
Table 6 / Page 45
Figure 6","1. Are MT set at MCL level for COCs? Yes
2. Are all MT set at MCL level? Yes

They haven't set MT and MO for the constitutes that are naturally occuring (Iron, Manganese, boron), so they did not use the MCL for these.",,
Sara,,,Drinking Water Users,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on drinking water users (e.g., domestic wells, municipal water suppliers)? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality).",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, drinking water users, domestic, domestic wells, groundwater levels, water quality, groundwater quality",Somewhat,"The established maximum thresholds for groundwater quality protect and maintain groundwater quality for existing or potential beneficial uses and users. Maximum thresholds align with state drinking water standards, which are derived from the maximum contaminant levels (MCLs) in Title 22 of the California Code of Regulations. The more stringent water quality objectives for specific conductivity, specified in the basin Plan, are reflected in the trigger values defined for this constituent. New COIs may be added with changing conditions and as new information becomes available. &&& Results suggest 6 domestic wells (2% of total wells assessed) would be impacted by a return to  Fall 2016 levels. This number increases to 15 domestic wells and 1 agricultural well (5% of total wells)when groundwater levels in the basin are 10 ft lower than Fall 2016. Lowering Fall 2016 groundwater levels by 10 ft would be a worse scenario than the conditions proposed by MTs since the maximum difference in groundwater levels at RMPs and their respective MTs is 5 ft and this difference is not basinwide. Increasing depth to groundwater by 20 ft from Fall 2016 levels would cause 25 domestic wells and 1 agricultural well (9% of total wells) to go dry. Unacceptable well impacts are defined as dewatering or lost access to groundwater at a well that requires well deepening. Well rehabilitation costs for impacted wells, assuming a return to the MT at all RMPs, were estimated to be between $320,000 and $850,000 following the cost structure of Pauloo et al. (2021), EKI (2020), and Gailey (2019), but would likely be significantly less, as significant and unreasonable impacts occur when a third of RMPs exceed MTs (Section 3.4.2), and less expensive rehabilitation costs such as pump lowering may be more appropriate in some situations (e.g., when operating margin exists).&&&&
3.4.3.1 Information and Methodology Used to Establish Minimum Thresholds and Measurable Objectives Groundwater level analysis and interpolation and stakeholder input were used to evaluate the impact of historically observed groundwater conditions (and MTs based on historical conditions) on well failure (i.e., domestic, agricultural, and public wells), depletions of ISW, and impacts to groundwater dependent ecosystems (GDEs).","Page 26, 27 / 3.4.2.1
Table 4
Page 46 / 3.7.3.1","1. Do they mention impact of groundwater elevation MT on drinking water users?  Yes, for GW elevation
2. Do they mention impact of water quality MT on drinking water users? Yes, set to drinking water standards
3. Do they use quantitative data to describe the harm of crossing the MT? No

They do consider Beneficial users and set MT to drinking water standards, no specific mention of drinking water users.",,
Martha/Sara,,,DACs,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on DACs? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality).",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, groundwater levels, water quality, groundwater quality",No,,,"1. Do they mention impact of groundwater elevation MT on DACs? No
2. Do they mention impact of water quality MT on DACs? No
3. Do they use quantitative data to describe the harm to DACs of crossing the MT? NA

No mention of DAC",,
Martha/Sara,,,Tribes,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on Tribes? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality, Interconnected Surface Waters).",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, disadvantaged communit*, DAC, tribal, tribe, groundwater levels, water quality, groundwater quality",No,"Categories of beneficial uses of groundwater in the North Coast Region, as listed in the Basin Plan, include municipal and domestic supply, agricultural supply, industrial supply, aquaculture, and Native American culture. Specific uses of groundwater in the Basin include groundwater use for irrigation in agriculture, a significant part of the local economy, as stock water, and as a municipal and domestic water source. Importantly, beneficial uses also include ground water dependent ecosystems and instream habitat where and when groundwater contributes to streamflow.&&&
The established maximum thresholds for groundwater quality protect and maintain groundwater quality for existing or potential beneficial uses and users. Maximum thresholds align with state drinking water standards, which are derived from the maximum contaminant levels (MCLs) in Title 22 of the California Code of Regulations. The more stringent water quality objectives for specific conductivity, specified in the basin Plan, are reflected in the trigger values defined for this constituent. New COIs may be added with changing conditions and as new information becomes available.","Page 36 / 3.7
Page 46 / 3.7.3.1","1. Do they mention impact of groundwater elevation MT on Tribes? No, they vaguely include them as a beneficial user
2. Do they mention impact of water quality MT on Tribes? No
2. Do they mention impact of ISW MT on Tribes? No
4. Do they use quantitative data to describe the harm to DACs of crossing the MT? NA

They do consider Native american Culture as beneficial users and mention setting MTs to protect quality for beneficial users. Very vague and lacking analysis of impacts. Groundwater Quality",,
Becky/Sara,,,Ecosystems,1,"Does the GSP evaluate the cumulative or indirect impacts of proposed minimum thresholds on GDEs or environmental beneficial users of surface water? If so, please indicate in the notes for which sustainability indicators (i.e., Groundwater levels, Water Quality, Interconnected Surface Waters).",NO: no mention Somewhat: mention vaguely &/ only for one MT section YES: mention in both MT sections and use quantitative data to justify/describe,"minimum threshold, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE, environmental beneficial user, instream, groundwater levels, water quality, groundwater quality, depletion of surface water ISW",Yes,"For the development of this GSP, groundwater level data from other basins were used to provide a justifiable margin to account for this uncertainty in the measurement of annual high and low groundwater levels. A margin of 10% or 10 ft, whichever was lower, was determined appropriate to be considered an overall ceiling. A well-specific assessment was performed and this margin was decreased appropriately wherever the impact of low groundwater levels was deemed important to ISW depletion and GDE needs: • Wherever possible, the MT is set as the average of the three lowest (Fall season) historical
measurements on record for depth to groundwater taken during drought periods. A well specific margin, not exceeding the minimum of 10% or 10 ft, is further added to the MT to account for uncertainty in measuring annual low groundwater levels. This criterion applies to RMPs with historical groundwater level measurements that at least cover the 2012-2016 drought period. • For RMPs with insufficient historical groundwater elevation data, The MT is set at the historic1 maximum depth to water measurement, plus a well-specific margin, not exceeding the minimum of 10% or 10 ft, to account for uncertainty in measuring annual low groundwater level (Table 3).
&&&Impacts on GDEs: GDEs were mapped using the best available datasets across the Basin as discussed in Section 2.2.2. In order to assess the possible impacts of groundwater elevation change in the basin on GDEs the following methodology was used: • seasonally interpolated groundwater elevation raster maps (contour maps) were generated using available groundwater elevation data from the CASGEM program. Due to the limited temporal and spatial availability of CASGEM data in the basin, groundwater elevation contour maps are generated for the period of 2016-2020. It is worth noting that even during this period, the spatial coverage of the groundwater elevation data is not ideal to generate contour maps and the resulting uncertainty needs to be considered.• The map of likely connected GDEs produced in Section 2.2.2 was utilized as the basis for existing GDE coverage in the basin. • Fall 2016 measured groundwater elevation at RMPs were compared to the proposed minimum thresholds. The difference in measured groundwater elevation and proposed MTs at RMPs varied between 1.9 to 5 ft. Two RMPs did not have a measurement taken in Fall 2016 and were excluded from this estimate of the groundwater level difference. Contour maps were generated by adding 2.5 and 5 ft to the Fall 2016 depth to groundwater contour map. The resulting contour maps (MT contour maps), essentially provided us with comparison baselines of the groundwater elevations in the basin when MTs occur. • The MT contour maps were used along with 2016-2020 seasonal contour maps to estimate the total area of GDEs that remain likely connected to groundwater by comparing GDE rooting depths with respective estimated depths to groundwater.Results of this analysis are shown in Figure 3 and indicate that increasing depth to groundwater by 2.5 and 5 ft basin-wide will result in GDE coverage loss of 13% and 20%, respectively. This is well within historical margins and comparable to Fall 2015. In addition, considering the significant uncertainties posed by spatial gaps in groundwater elevation data and the interpolation method, the GSA and its technical advisory committee found that MTs are sufficiently protective of GDEs in the basin and with the implementation of the GSP and its projects and management actions,significant harm to GDEs will be avoided. The GSA is committed to cooperative, multi-benefit projects in coordination with land trusts, resource conservation agencies, and other stakeholders to anticipate and mitigate impacts to GDEs that directly result from unsustainable groundwater management.","Page 23 / 3.4.3
Figure 2, figure 3
page 28 / 3.4.3.1","1. Do they mention impact of groundwater elevation MT on GDEs? Yes
2. Do they mention impact of ISW MT on GDEs? Yes
3. Do they use quantitative data to describe the harm of crossing each of the MT? Yes",,
Sara,,Measurable Objectives,Drinking Water Users,2,Does the GSP consider Drinking Water Users when establishing measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"drinking water users, domestic, measurable objective, water quality, groundwater quality, contaminent, constituent of concern, COC",Somewhat,"3.4.3.1 Information and Methodology Used to Establish Minimum Thresholds and Measurable Objectives Groundwater level analysis and interpolation and stakeholder input were used to evaluate the impact of historically observed groundwater conditions (and MTs based on historical conditions) on well failure (i.e., domestic, agricultural, and public wells), depletions of ISW, and impacts to groundwater dependent ecosystems (GDEs).",Page 26 / 3.4.2.1,"1. Does the GSP mention Drinking Water Users for water quality MO? Yes, but vaguely domestic
2. Does the GSP mention Drinking Water Users for groundwater elevation MO? Yes, but vaguely domestic
3. Do they justify/evaluate the MOs based on Drinking Water users water needs? No

NO specific mention of drinking water users, they do mention domestic users vaguely, and have set MO to lower than drinking water standard (MCL)",,
Martha/Sara,,,DACs,2,Does the GSP consider DACs when establishing measurable objectives?,NO: no mention Somewhat: mention vaguely &/ only for one MO section YES: mention in both MO sections and justify/describe,"measurable objectives, disadvantaged communities, DAC",No,,,"1. Does the GSP mention DACs for groundwater elevation MO? No
2. Does the GSP mention DACs for ISW MO? No
3. Do they justify/evaluate the MOs based on DAC water needs? No
No mention of DAC",,
