Unnamed: 0,GENERAL,Unnamed: 2,General Notes ,Unnamed: 4,Unnamed: 5,GSP Information,Answer,Unnamed: 8,Unnamed: 9,Unnamed: 10
Meagan,MONITORING NETWORK,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent water quality conditions around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites)? In the notes, please specify whether RMS for each of the contaminents identified in the basin (see line 24). Answer Yes = existing and proposed monitoring wells are adequately distributed across DAC, domestic well, and Tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, domestic well, and Tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, domestic well, and Tribal areas.","water quality, contaminents, COC, data gap, disadvantaged communit*, DAC",No,,,RMS do not adequately represent water quality conditions in the northern DAC communities of Tracy GSP.
Meagan,,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent shallow groundwater elevations around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites). In the notes, please specify any deficiencies in the distribution of representative monitoring sites (RMS). Yes = existing and proposed monitoring wells are adequately distributed across DAC, drinking wells, and tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, drinking wells, and tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, drinking wells, and tribal areas.","shallow monitoring well, data gap, disadvantaged communit*, DAC, tribal, tribe",No,,,RMS do not adequately represent groundwater elevation conditions in the northern DAC communities of Tracy GSP.
Becky,,,Environment,1,Does the GSP include a plan to identify and fill shallow monitoring well data gaps around GDEs and ISWs in the monitoring network?,"shallow monitoring well, data gap, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE ",Somewhat,"
Table 8-4 lists these new monitoring wells and their purpose. These wells may be constructed by DWR as part of their Technical Support Services or as local funding becomes available. Once completed and along with at least 5 years of measurements minimum thresholds and  measurable objectives may be established at these wells. &&  Three existing Lower aquifer monitoring wells are located south of the Old River and can be used to
 
develop gradients towards or away from the Delta area rivers, canals and sloughs where the Corcoran Clay
 
may be absent allowing interconnection of the Upper and Lower aquifers and the possibility that use of 
groundwater from the Lower aquifer could deplete surface water. These wells can also be clustered into a
 
group to develop gradients towards or away from the rivers. Table 8-8 provides the well construction
 
details and attributes. Figure 8-12 shows the locations of the surface water depletion monitoring wells for
the Lower aquifer.",Page 8-18 / 8.2.5 && Figure 8-6 && Table 8-4,One monitoring well is proposed (but not planned) to enhance the GDE analysis. Existing wells could be used to enhance ISW monitoring. No PMA with clear plan of filling shallow monitoring gaps around GDEs and ISWs.
Becky,,,Environment,2,Does the GSP include any plans to incorporate GDE-related biological monitoring into the monitoring network?,"GDE Pulse, NDVI, normalized difference vegetation index, biologic*, survey, vegetation, fish",No,,,
Sara,PROJECTS & MANAGEMENT ACTIONS,,Environment,2,Does the GSP include any recharge projects with explicit benefits to the environment?,"recharge, managed aquifer recharge, MAR, multi-benefit recharge",No,,,
Sara,,,Environment,2,"Does the GSP include any habitat or stream restoration or invasive species removal projects (e.g., to improve water supply in the basin or GDE habitats)?","invasive species, habitat",No,,,
Sara,,,All,1,"Does the GSP identify benefits or impacts of identified projects and management actions to key beneficial users such as GDEs, drinking water users, tribes, DACs?","beneficial users, environment, GDE, DAC, trib*",Somewhat,Modify Well Ordinance - 1) Create surface water depletion protection zones near rivers and sloughs. Minimum sanitary seal and screen depth requirements to limit direct interconnection to surface water. Benefits Upper Aquifer and potentially to GDE’s. 2) Well spacing requirements for high-capacity irrigation or municipal wells from domestic wells. Benefits domestic well owners.,Page 10-2 / 10.2,Potential benefit to GDE from modify well ordiance
Martha/Sara,,,DACs,2,Does the GSP include any recharge projects with explicit benefits to DACs?,"recharge, managed aquifer recharge, MAR",No,,,
Sara,,,DACs / Drinking Water,,Does the GSP include a drinking water well mitigation program to avoid significiant and unreasonable loss of drinking water?,"drinking water, well mitigation program",No,,,NO mention of drinking water in Projects and management actions
Sara,,,DACs,1,Does the GSP identify potential impacts to water quality from Projects and Management Actions?,"water quality, disadvantaged communit*, DAC",No,,,No mention of water quality in Projects and management actions
Lauren,OTHER,,,,Does the GSP have plans to use Open ET to monitor groundwater extractions from agriculture?,OpenET,No,,,
Lauren,,,,,Does the GSP have plans to install meters on wells in the basin?,meters,No,"The City of Lathrop is located just west of the City of Manteca and south of the City of Stockton. In 2019, 53 the population of Lathrop was about 25,000. The City of Lathrop’s water system serves approximately 7,300 metered service connections within 14,400-acre (22-square-mile) area of the Subbasin.
&&
The C2VSim-CG model dynamically calculates crop water demands; allocates contributions from precipitation, soil moisture, and surface water diversions; and calculates the groundwater pumpage required to meet the remaining demand. Agricultural groundwater pumping is typically not metered in the Central Valley, and the C2VSim-CG model provides some of the best estimates of this pumping because the pumping is constrained spatially and temporally by estimated demand and by surface water supplies. The model can also be used to calculate the changes in aquifer storage and can be used to estimate the water flows between rivers and groundwater aquifers.","Page 2-2 / 2.1.3
Page 7-3 / 7.2","Some connections (not specified to be wells) are metered within Lanthrop, but agricultural wells not metered due to use of modeling to estimate pumping; no mention of plans to increase the amount of metered wells/other connections"
Lauren,,,,,"Does the GSP have plans to implement demand reduction (e.g., pumping cuts) in the basin to achieve sustainability?","demand, demand reduction, pumping cuts, demand management",Yes,"Project 1: Reduction of Groundwater Pumping 
Project Description: This project will consist of expansion of the BCID distribution facilities to provide surface water to up to about 500 acres of agricultural land that is currently solely reliant on groundwater. The project requires construction of new lateral pipelines, establishment of new turnouts to deliver water to the agricultural properties, and enlargement of a pump station tied to an existing main lift canal. 
Measurable Objective Expected to Benefit: This project addresses chronic lowering of groundwater levels in the Subbasin by reducing groundwater pumping by up to 1,000 AFY. 
Project Status: The expansion of the distribution facilities project is currently under review by BCID Board of Directors. Construction is expected to begin in 2023 and be completed by 2030.",Page 10-4 / 10.2.1,"Project aims to replace groundwater with surface water. This would not necessarily reduce demand overall, but would reduce demand on groundwater resources. "
Lauren,,,,,"Does the GSP have plans to implement supply augmentation (e.g., recharge projects, desalinating brackish groundwater) in the basin to achieve sustainability?","recharge, managed aquifer recharge, MAR, desalin*, brackish groundwater",Somewhat,"""Project 1: Reduction of Groundwater Pumping 
Project Description: This project will consist of expansion of the BCID distribution facilities to provide surface water to up to about 500 acres of agricultural land that is currently solely reliant on groundwater. The project requires construction of new lateral pipelines, establishment of new turnouts to deliver water to the agricultural properties, and enlargement of a pump station tied to an existing main lift canal. 
Measurable Objective Expected to Benefit: This project addresses chronic lowering of groundwater levels in the Subbasin by reducing groundwater pumping by up to 1,000 AFY. 
Project Status: The expansion of the distribution facilities project is currently under review by BCID Board of Directors. Construction is expected to begin in 2023 and be completed by 2030.""",Page 10-4 / 10.2.1,"The in lieu recharge project (replace groundwater with surface water) above would increase the access to surface water for 500 acres of ag land, but this would not increase the overall supply of water to the basin "
Lauren,,,,,"Do they evaluate whether Project and Management Actions close the gap for current and projected sustainable yield (e.g., overdraft as compared to the projected sustainable yield)? ","sustainable yield, overdraft, balance",Yes,"The water budgets for the Subbasin show that it is currently within balance and that projected conditions with climate change results in only a slight imbalance of about 800 AFY (refer to Chapter 7 – Water Budgets). One project is planned that can bring the water budget into balance and within its sustainable yield. Therefore, with these conditions this GSP does not intend to curtain groundwater use. Two supplemental projects are also under consideration in case physical measurements require additional management actions.
&&
""Project 1: Reduction of Groundwater Pumping 
Project Description: This project will consist of expansion of the BCID distribution facilities to provide surface water to up to about 500 acres of agricultural land that is currently solely reliant on groundwater. The project requires construction of new lateral pipelines, establishment of new turnouts to deliver water to the agricultural properties, and enlargement of a pump station tied to an existing main lift canal. 
Measurable Objective Expected to Benefit: This project addresses chronic lowering of groundwater levels in the Subbasin by reducing groundwater pumping by up to 1,000 AFY. 
Project Status: The expansion of the distribution facilities project is currently under review by BCID Board of Directors. Construction is expected to begin in 2023 and be completed by 2030.""","Page 3-54 / 3.15
Page 10-4 / 10.2.1","This project is aimed at minimizing GW storage/lowering of GW levels; they acknowledge that the climate change scenario used in their projections would cause a deficit, and this is their solution to bring the water budget back into balance. See also: Table 10-2 in Section 10.3
"
Lauren,,,,,Does the GSP reference / propose any new water markets in the basin?,water market,No,,,
Lauren,,,,,"Does the GSP identify the potential impact of climate change on obtaining/crossing thresholds for Sustainable Management Criteria (e.g., as a driver of undesirable result or potential reason for crossing a minimum threshold)?",climate change,Yes,"Groundwater modeling results for projected conditions and with climate change were also considered during the development of minimum thresholds. Many of the model calibration wells are representative wells selected for this GSP and thus their projected difference in groundwater levels were also used during consideration to establish minimum levels. The model projected some groundwater levels to decline by 1 to 7 feet. Some selected representative monitoring wells were not in the model calibration and therefore to remain similar to other modeling results the groundwater levels were forecasted to be lower by 2 to 3 feet.
&&&
The water budgets for the Subbasin show that it is currently within balance and that projected conditions with climate change results in only a slight imbalance of about 800 AFY (refer to Chapter 7 – Water Budgets). One project is planned that can bring the water budget into balance and within its sustainable yield. Therefore, with these conditions this GSP does not intend to curtain groundwater use. Two supplemental projects are also under consideration in case physical measurements require additional management actions.
&&
Historical and future surface water depletion were evaluated using a groundwater model (refer to Chapter 7 – Water Budgets). The groundwater model for projected with climate change suggests that surface water depletion will increase (combination of increased surface water inflow and a decrease of surface water discharges). As discussed in this chapter there are some uncertainties in the model (Chapter 7.8 – Opportunities for Improvements) that once resolved may reduce this projected surface water depletion. Until the groundwater model and water budget are validated the amount of projected surface water depletion cannot be relied upon and minimum thresholds and measurable objectives were established near historic levels.","Page 9-6, Page 3-54 / 3.15
Page 9-29 / 9.8.1","The GSP mentions that they use the projected model with climate change incorporated to set minimum thresholds for groundwater elevations. Climate change acknowledged to likely cause a budget deficit, as well as potentially playing a role in depletions of ISWs. "
Lauren,,,,,"Does the GSP includes details on coordination with water quality control programs (e.g., Regional Water Quality Control Board, CV-Salts)?","Regional Water Quality Control Board (RWQCB), CV-Salts",Somewhat,"In response, the San Joaquin County & Delta Water Quality Coalition was established to help irrigated agriculture meet the requirements of the California Regional Water Quality Control Board’s (RWQCB) Irrigated Lands Regulatory Program (ILRP) in San Joaquin County (including all of the Subbasin), Calaveras County, and Contra Costa County. The Coalition is operated and governed by the San Joaquin County Resource Conservation District. The Central Valley Regional Water Quality Control Board (CVRWQCB) approved a new General Order for the San Joaquin County and Delta Watershed area on March 12, 2014.
&&
In 2018, the CVRWQCB prepared a Water Quality Control Plan for the Sacramento and the San Joaquin River Basins (Basin Plan) along with subsequent amendments (CVRWQCB, 2018). The objective of the Basin Plan is to show how the quality of the surface water and groundwater in the San Joaquin and Sacramento regions should be managed to provide the highest water quality reasonably possible...
...Water Quality Objectives for both groundwater (drinking water and irrigation) and surface water are provided in the Basin Plan.","Page 3-39 / 3.9.5
Page 3-41 / 3.9.6","The basin established a water quality coalition in order to abide by CVRWQCB requirements, and water quality objectives meet standards (see Table 9-3, page 9-20), but no details on coordination or specific actions are mentioned beyond that"
