Unnamed: 0,GENERAL,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,GSP Information,Answer,Unnamed: 9,Unnamed: 10,Unnamed: 11
RMS/Maps,MONITORING NETWORK,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent water quality conditions around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites)? In the notes, please specify whether RMS for each of the contaminents identified in the basin (see line 24). Answer Yes = existing and proposed monitoring wells are adequately distributed across DAC, domestic well, and Tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, domestic well, and Tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, domestic well, and Tribal areas.","NO = RMS are not located within one  mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","water quality, contaminents, COC, data gap, disadvantaged communit*, DAC",No,"As discussed in Section 2.2.4 of the Basin Setting, groundwater quality monitoring and reporting is conducted through numerous public agencies. Rather than developing a new monitoring program, the YSGA will rely on existing programs to monitor water quality in the Subbasin. Specifically, the representative monitoring network  will consist of public water system wells regulated by the State Water Resources Control Board’s Division of  Drinking Water (DDW) and Yolo County Environmental Health Division; participating agricultural and on-farm domestic drinking water wells monitored by the Sacramento Water Quality Coalition (Coalition) under ILRP; and potential private domestic wells under the CV-SALTS Nitrate Control Program. Table 4-2 provides overview of these programs and the limits monitored for each constituent of concern identified in the Subbasin. Other groundwater quality monitoring programs that exist within the YSGA boundary will be tracked by the YSGA, but not discussed in detail here, as hundreds of constituents are tested on a regular basis. These programs include Groundwater Ambient Monitoring and Assessment (GAMA) managed by the USGS, the Department of Pesticide Regulation’s Groundwater Protection Program  (https://www.cdpr.ca.gov/docs/emon/grndwtr/gwp_sampling.htm), and Leaking underground Storage Tank (https://www.waterboards.ca.gov/ust/), among others. For a detailed review of the various groundwater quality monitoring programs active in the YSGA area please see the 2014 Groundwater Quality Assessment Report (GAR) https://norcalwater.org/res/docs/NCWA_GWQ_Assessment_7-18-2014_FinalDRAFT.pdf",4-11 / 4.6.1,"1. How were WQ RMS listed? (CASGEM ID, lat/long, described) WQ RMS were described but not listed
2. How many WQ RMS were we able to map? (all, some, none) None
3. Of those mapped, was there a well within 1 mile of DACs? Unable to map, but based on GAMA wells in yolo there would be good coverage of entire basin
4.Of those mapped, was there a well within 1 mile of Tribes? Unable to map but GAMA wells are within 1 mile of Tribe
5. Of those mapped, was there a well within 1 mile of domestic wells? Unable to map but GAMA monitoring covers domestic wells and drinking water 

Given a no because locations and names of wells is unavailable"
RMS/Maps,,,DACs / Tribes / Drinking Water Users,1,"Do the Representative Monitoring Sites (RMS) in the monitoring network adequately represent shallow groundwater elevations around DACs, domestic wells, and Tribes (In the case of data gaps, evaluate proposed monitoring sites). In the notes, please specify any deficiencies in the distribution of representative monitoring sites (RMS). Yes = existing and proposed monitoring wells are adequately distributed across DAC, drinking wells, and tribal areas; Somewhat = existing and proposed RMS do not adequately cover DAC, drinking wells, and tribal portions of the basin; No = Existing and proposed RMS are not available within DAC, drinking wells, and tribal areas.","NO = RMS are not located within a mile of any DACs, domestic wells, or tribes
Somewhat = RMS are within one mile of at least one DAC, domestic well or tribe
Yes = RMS are within one mile of ALL DAC, domestic and tribal communities within the basin boundary
","shallow monitoring well, data gap, disadvantaged communit*, DAC, tribal, tribe",Somewhat,"The subbasin has 63 wells spread across the six management areas that have been designated as the representative monitoring wells for chronic lowering of groundwater levels. The selected representative monitoring network is a subset of all monitoring wells currently monitored in the Subbasin. The representative monitoring wells have been selected because they have a period of record that supports analysis required to develop measurable objectives and minimum thresholds for this sustainability indicator, and whose locations are representative of surrounding groundwater levels. ","4-6 / 4.4.1
Figure 4-1","1. How were Elevation RMS listed? (CASGEM ID, lat/long, described) Lat/Long
2. How many Elevation RMS were we able to map? (all, some, none) All
3. Of those mapped, was there a well within 1 mile of DACs? Yes
4.Of those mapped, was there a well within 1 mile of Tribes? Yes
5. Of those mapped, was there a well within 1 mile of domestic wells? Yes

View Map here: https://drive.google.com/drive/folders/1FtrFQKdIIB9yho0rzkqAwCZUd2mxrwED

With a one mile buffer, fhe representative monitoring network only partially monitors the Rumsey tribe located withing the basin boundary. There is an SDAC community on the east side of the basin boundary that has no RMS. SDAC block group  in upper right of basin has minimal RMS. Overall decent coverage of the basin and its DACS/SDAC block groups"
ISW/GDE,,,Environment,1,Does the GSP include a plan to identify and fill shallow monitoring well data gaps around GDEs and ISWs in the monitoring network?,"No plan in place to identify and fill shallow well data gaps around GDEs and ISWs; no potential plan
  = no
Mention of shallow monitoring data gap and need to fill but no detailed plan in monitoring network or PMAs; contradictory statements in different sections; potential PMA; City is handling it = somewhat
GSP has a clear plan to fill spatial and/or temporal data gaps with regards to GDEs and ISWs in monitoring network section or PMAs
. = yes","shallow monitoring well, data gap, groundwater dependent ecosystem, groundwater-dependent ecosystem, GDE ",Somewhat,"The subbasin has 17 near-stream, shallow wells that have been designated as the representative monitoring wells for depletion of interconnected surface waters. The selected representative monitoring network is a subset of all wells currently monitored in the Subbasin. The representative monitoring wells have been selected because they have a period of record that supports analysis required to develop measurable objectives and minimum thresholds for this sustainability indicator, and whose locations are representative of surrounding groundwater levels. The representative monitoring wells will identify groundwater level responses, during the implementation period (2022 to 2042), to monitor the Subbasin’s performance to this sustainability indicator. Tables 4-3 and Figure 4-3 identify the monitoring wells by each interconnected surface water management zone. As shown in Figure 4-4, these 17 wells have been spatially distributed to provide adequate coverage of major interconnected surface water bodies. The representative monitoring network for depletion of interconnected surface waters is divided into five groups, corresponding to the Interconnected Surface Waters Management Zones described in the Undesirable Results section.

&& The ephemeral streams in the Dunnigan Hills area, namely Oat Creek, Bird Creek, Dunnigan Creek, Buckeye Creek, and Little Buckeye Creek, are not well described. There is high uncertainty about when the streams are flowing, the groundwater levels and aquifer properties in the area, and how the streams may or may not be connected to groundwater. The YSGA will seek to add additional monitoring wells in the area and increase understanding of aquifer properties, surface water flow regimes, and potential groundwater-surface water interaction. Due to a lack of significant groundwater development in the southern region of the Subbasin, coincident with the Clarksburg Management Area, the area is considered a monitoring area for depletion of interconnected surface waters. In the event that land use changes occur or groundwater production increases in a manner that will affect local groundwater conditions, new monitoring wells will be sited in this management area.

&& In coordination with the Solano Subbasin, additional shallow, near-stream nested monitoring wells may be installed along Putah Creek.","Page 4-17 / 4.8.1 

&& Page 4-21 / 4.8.5

&& Page 4-29 / 4.11.2.3

Table 5-1 ","1. Is there a plan to fill shallow groundwater wells in the monitoring network section? somewhat - the GSA identified 17 existing near-stream shallow wells for the ISW monitoring network. In the Data gaps section, the plan mentions the possibility of adding a monitoring well to fill the lack of data in the areas mentioned. Unsure if plan is in place.
2.And/OR is there a plan to fill shallow groundwater wells in the PMA section? somewhat - in table 5-1, Project number P5 is titled ""Additonal monitoring wells along ephemeral streams, interconnected surface water bodies, and near GDEs"" and has a brief description but no detailed description (where will wells be installed, what depth, how many?)"
ISW/GDE,,,Environment,2,Does the GSP include any plans to incorporate GDE-related biological monitoring into the monitoring network?,"No plan or mention of biological monitoring 
  = no
Some coordination with other agencies; Mention of the possibility of future biological monitoring/surveys = somewhat
Clear plans for biological monitoring are described; Remote sensing; field surveys, etc. = yes","GDE Pulse, NDVI, normalized difference vegetation index, biologic*, survey, vegetation, fish",Somewhat,"A relationship between NDVI and depth to water may be evaluated in the future to improve the understanding
 of the connection between groundwater levels and GDE health.

&& GDEs in the Yolo Subbasin may be refined and characterized through a verification process that would include coordination with local entities, surveys, and additional field work. A process for monitoring wetland, aquatic, and vegetative GDE presence and health on an annual and inter-annual basis is being considered. This process would include utilization of TNC’s GDE Pulse and Point Blue’s Water Tracker.","page 2-127 / 2.2.7.6 

&& Page 4-29 / 4.11.2.3

Table 5-1 ","1. Is there a plan in place for biological monitoring, including but not limited to field surveys, remote sensing (NDMI, NDVI), aerial photographs? somewhat - In the GDE section, the plan states that NDVI and depth to water analsis might continue to better understand GDEs. In the Plan to Address Data Gaps section (4.11.2), the plan states that GDE surveys and field work might be considered. Table 5-1 in PMA section presents P6, ""Vegetative and aquatic surveys in relation to groundwater dependent ecoystems"". The description is vague and sounds like a possibility. "
WQ,PROJECTS & MANAGEMENT ACTIONS,,Environment,2,Does the GSP include any recharge projects with explicit benefits to the environment?,"NO = no recharge & no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to environment generally &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR, multi-benefit recharge",Yes,"Preparedness through Increased Groundwater Recharge and Managed Aquifer Recharge Projects
This project encompasses all efforts to increase groundwater recharge in the Yolo Subbasin. This includes diversion of winter flows for groundwater recharge, increased groundwater infiltration from precipitation, aquifer storage and recovery projects, for example. Increased groundwater recharge efforts and winter diversions may result in creational of seasonal wetlands in some scenarios. YCFC&WCD proposes to divert winter flows from Cache Creek into the canal system to increase groundwater recharge. Groundwater recharge and recovery is central to good conjunctive management of surface and groundwater resources. Currently, by YCFC&WCD policy, 160 miles of surface water canals remain unlined, providing summertime groundwater recharge services that benefit the aquifer and riparian habitat. The recharged groundwater is used by beneficial users in the Subbasin. &&&
North of Winters multi-use, stormwater, and water storage pond, 'Winters North Area
This project proposes developing and constructing a 5,000 acre-feet storm water retention pond in the north area of Winters to reduce drainage and flood waters from the Chickahominy Slough. The retention pond would also be used for groundwater recharge in times when the capacity and water was available. The retention pond would provide water quality benefits by allowing the sediments in the runoff to settle and lessening the transfer of pollutants and chemicals downstream. The surrounding area would have native vegetation that would promote benefits for wildlife habitat, and the property would allow for groups to visit and learn about the multi-beneficial, multi-agency partnership. Similar to the District's Chapman Reservoir, the project would install automated gates and monitoring devices at the retention pond that would be connected to the District's SCADA system for real-time management.","Page 5-5 / Table 5.1
page 5-13 / Table 5.1
Appendix F","1. Are there projects that involve groundwater recharge? Yes / Second Project: Yes
2. Do those projects list explicit benefits to the environment? Yes / Second project: Yes
3. Are the projects new, on-going or proposed? Ongoing / Second project: TBD
4. Are the projects implemented by the GSP or others? YSGA, Member Agencies / Second Project: YCFCWCD, City of Winters, YSGA for public noticing
5. If others, is the GSP coordinating with the others in implementation? No
"
WQ,,,Environment,2,"Does the GSP include any habitat or stream restoration or invasive species removal projects (e.g., to improve water supply in the basin or GDE habitats)?",NO = on-going project without coordination. SOMEWHAT = on-going project with coordination &/or proposed project;  YES = the GSPs implementing;,"invasive species, habitat",Somewhat,"UC Davis Arboretum Waterway Wetland Restoration and Enhancement
UC Davis is proposing to enhance the Arboretum Waterway, which captures stormwater discharge from 900 acres of the UC Davis campus, by establishing a wetland area to treat stormwater discharge and recycled water prior to discharge to Putah Creek.&&&
Oak woodland, riparian, and chaparral restoration in the Capay Valley Develop a restoration plan and demonstration sites. Then scale-up the demonstration sites to other areas in the Capay Valley MA. Improving the health of oak woodlands, riparian areas, and chaparral can improve the hydrological and ecological function of these areas.
","Page 5-18 / table 5.1
Page 5-19 / table 5.1
Appendix F","If yes to projects:
1. Are the projects new, on-going or proposed? First: Ongoing / second: 2022 initiation
2. Are the projects implemented by the GSP or others? UC Davis, YSGSA for public noticing /, Second project: Capay Valley Vision with Cache Creek Conservancy & YSGA for public noticing
3. If others, is the GSP coordinating with the others in implementation? Not Stated
"
WQ,,,All,1,"Does the GSP identify benefits or impacts of identified projects and management actions to key beneficial users such as GDEs, drinking water users, tribes, DACs?","NO = no mention of benefits, &/ on-going project without coordination beyond general mention of ""beneficial users"". SOMEWHAT = beneficial users explicilty identified, but impacts not well described or beneficial users explicilty identifed and described, but no PMAs with benefits to GDEs, drinking water users, tribes or DACs;  YES = beneficial users exlicitly idenfitied, impacts and benefits described and PMAs with benefits to GDEs, drinking water users, tribes and DACs.","beneficial users, environment, GDE, DAC, trib*",Yes,"Additional monitoring wells along ephemeral streams, interconnected surface water bodies, and near GDEs.
Additional monitoring wells along ephemeral streams in the subbasin may improve our understanding of surface water/groundwater of ephemeral streams in the subbasin.&&
Vegetative and aquatic surveys in related to groundwater dependent ecosystems
This project would Improve the ecological inventory of GDEs in the Yolo Subbasin. &&&
Woodland Recycled Water Utility Expansion Project (Phase II) & (Phase III)
The City of Woodland currently has tertiary treated Title 22 effluent from the City’s Water Pollution Control Facility (WPCF) providing a firm capacity of approximately 2,700 gpm for recycled water. Woodland has an existing recycled water utility serving 2 City parks and a large industrial user in the industrial area northwest of the Water Pollution Control Facility (WPCF). The City has planned for an expansion of the recycled water utility into the Spring Lake Area of the City and also to serve the planned Woodland Research & Technology Park. There are several existing large water users that would use the recycled water for irrigation of parks and roadside landscaping. Businesses in the Research Park would utilize recycled water for cooling buildings. In addition, recycled water would be available to extend into new development areas for landscape irrigation. Portions of recycled water pipelines in Spring Lake have already been constructed by development projects. Providing recycled water to these areas would reduce demands on the potable water distribution system and reduce the demand on the groundwater aquifer. The recycled water pipeline would be constructed in the City's existing right of way. The City has recently completed a Mitigated Negative Declaration for the project. The expected initial demand for recycled water would exceed 110 acre feet per year. The Capital Cost for the Project is approximately $2.5M.The recycled water project includes construction of approximately 10,000 feet of 8” diameter purple pipe and a 100,000 gallon storage tank. The project also provides recycled water for expansion (Phase III) to west of Highway 113.","Page 5-8 / Table 5.1
Page 5-16 &17 / Table 5.1
Appendix F","1. Do they identify explicity beneficial users? Yes
2. Do they describe the impact or benefit to the users identified?Yes,  GDE,  Potable water users
3. Across all PMAs, do they include GDEs, drinking water users, Tribes and DACs? If yes, which?  GDE, Potable water users, DAC
4. Are the projects proposed, ongoing? Proposed (proposed initial implimipnation 2022-2027) / Second project: Ongoing
5. Are the projects implemented by GSA or others? First project GSA/ Second project: City of Woodland, YSGA for public noticing

Also Answer to Row 71 has impacts for drinking water users
In appendix F, they have listed all their projects, and they have a column for Disadvantage community, (I am not sure if it means DAC will benefit from the projects / DAC are involves in this project or DAC's lives in this project area?!!) However they have considered DAC.
"
Stakeholder & WQ,,,DACs,2,Does the GSP include any recharge projects with explicit benefits to DACs?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to environment & the GSPs implementing;","recharge, managed aquifer recharge, MAR",Somewhat,"Preparedness through Increased Groundwater Recharge and Managed Aquifer Recharge Projects
This project encompasses all efforts to increase groundwater recharge in the Yolo Subbasin. This includes diversion of winter flows for groundwater recharge, increased groundwater infiltration from precipitation, aquifer storage and recovery projects, for example. Increased groundwater recharge efforts and winter diversions may result in creational of seasonal wetlands in some scenarios. YCFC&WCD proposes to divert winter flows from Cache Creek into the canal system to increase groundwater recharge. Groundwater recharge and recovery is central to good conjunctive management of surface and groundwater resources. Currently, by YCFC&WCD policy, 160 miles of surface water canals remain unlined, providing summertime groundwater recharge services that benefit the aquifer and riparian habitat. The recharged groundwater is used by beneficial users in the Subbasin","Page 5-5 / Table 5.1
Appendix F","""1. Are there projects that involve groundwater recharge? Yes
2. Do those projects list explicit benefits to the DAC? Somewhat not clear
3. Are the projects new, on-going or proposed? Ongoing 
4. Are the projects implemented by the GSP or others? YSGA, Member Agencies


In appendix F, they have listed all their projects, and they have a column for Disadvantage community, (I am not sure if it means DAC will benefit from the projects / DAC are involves in this project or DAC's lives in this project area?!!) However they have wrote DAC in Appendix F, It would be great if they can mention what is the purpose of writing DAC there and no mention in text.
"
WQ,,,DACs / Drinking Water,,Does the GSP include a drinking water well mitigation program to avoid significiant and unreasonable loss of drinking water?,"NO: No well mitigation program SOMEWHAT: well mitigation program, but not explicitly for drinking water users and DACs &/ proposed or on-going with coordination YES: well mitigation program for drinking water users and DACs","drinking water, well mitigation program",Somewhat,"Domestic Well Impact Mitigation Program
The YSGA is working to create a domestic well impact mitigation program to mitigate any potential impacts to domestic well users. This program will identify potetial funding sources for both temporary and permanent domestic water solutions in cases where domestic well users are impacted due to changing groundwater conditions as a result of groundwater management actions. The minimum thresholds and measurable objectives established in this document are generally protective of domestic well users in the Yolo Subbasin. The Domestic Well Impact Mitigation Program will provide resources and information in cases where management actions result in impacts to domestic well users.","Page 5-6 / Table 5.1
Appendix F","1. Is there a well mitigation program? Yes
2. Is the program new, on-going or proposed? Proposed initation 2022-2027
3. Is the well mitigation program explicitly for drinking water users and DACs? Drinking water users

"
WQ,,,DACs,1,Does the GSP identify potential impacts to water quality from Projects and Management Actions?,"NO = no mention of benefits, &/ on-going project without coordination. SOMEWHAT = benefits to beneficial users broadly &/or on-going project with coordination &/or proposed project;  YES = explicit benefits to DACs & the GSPs implementing;","water quality, disadvantaged communit*, DAC",Somewhat,"Abandoned Well Incentive Program
Creation of an incentive program that would pay for the destruction of old, abandoned wells. There are other existing programs that could be the foundation for this proposal. The objectives of this program would be to provide landowners an incentive-based, volunteer program with the intent of protecting the quality of groundwater, eliminating the safety hazard of open wells to humans and livestock, and promoting the importance of water quality within the Yolo Subbasin.
Forbes Ranch Regulating Pond
This project would develop and construct a 200-acre‐feet regulating pond to reduce drainage and flood waters through the town of Madison and District canal system. Divert stormwater flows to the pond through the existing conveyance. The regulating pond would provide storm water retention during the winter and would allow for groundwater recharge in the spring and summer when capacity and water is available. The regulating pond would provide water quality benefits.","Page 5-9 / Table 5.1
Page 5-12 / 5.1
Appendix F","1. Do those projects list potential impacts to water quality? Yes (Multiple projects)
2. Do those Projects list potential impacts to DAC? No
3. Are the projects new, on-going or proposed? Ongoing / Second project: TBD
4. Are the projects implemented by the GSP or others? YSGA / Second Project: YCFCWCD
5. If others, is the GSP coordinating with the others in implementation? No
"
CC/Other,OTHER,,,,Does the GSP have plans to use Open ET to monitor groundwater extractions from agriculture?,"No: Open ET not mentioned in GSP
Somewhat: Satellite based evapotranspiration used in analysis and monitoring for future groundwater extractions from agriculture
Yes: Open ET identified as a resource that will be used for monitoring future extractions from agriculture",OpenET,No,,,
CC/Other,,,,,Does the GSP have plans to install meters on wells in the basin?,"No: No mention of installing meters on wells or mentions meters as a DWR recommendation but no plans to install
Somewhat: Mentions potential plans for installing meters in event of exceedance, or identifies need for meters but no details of plans for installation
Yes: Describes plans for installing meters in detail as a planned project  ",meters,No,,,Flow meters/requiring meters not mentioned once in GSP or appendices
CC/Other,,,,,"Does the GSP have plans to implement demand reduction (e.g., pumping cuts) in the basin?","No:  Demand reduction not mentioned 
Somewhat: Mentions potential plans for demand reduction in event of exceedance, or future potential PMAs of demand reduction
Yes: Planned PMAs of demand reduction are described","demand, demand reduction, pumping cuts, demand management",Somewhat,"Relevant Demand reduction PMAs: P-31, P-32","Table 5-1 / 5.2.1
Appendix F"," Incredibly vague discussions of various PMAs that would reduce demand. Each PMA is given a row in a table, but has no further discussion of feasibility, timeline for implementation, or expected benefits. Appendix F is a table of all PMAs, and includes additional information, but is also quite vague as it seems to aim for concision rather than explanation. Relevant Demand reduction PMAs: P-31, P-32"
CC/Other,,,,,"Does the GSP have plans to implement supply augmentation (e.g., recharge projects, desalinating brackish groundwater) in the basin to achieve sustainability?","No: No plans in place for supply augmentation
Somewhat: Potential projects or evaluations of feasibility to implement supply augmentation mentioned
Yes: Planned supply augmentation described in detail to achieve sustainability","recharge, managed aquifer recharge, MAR, desalin*, brackish groundwater",Yes,"Relevant Supply Augmentation PMAs: P-16, P-44, P-45, P-49","Table 5-1 / 5.2.1
Appendix F"," Incredibly vague discussions of various PMAs that would augment supply. Each PMA is given a row in a table, but has no further discussion of feasibility, timeline for implementation, or expected benefits. Appendix F is a table of all PMAs, and includes additional information, but is also quite vague as it seems to aim for concision rather than explanation. Tentatively given a yes because P-44 and P-45 are listed as ongoing. Relevant Supply Augmentation PMAs: P-16, P-44, P-45, P-49"
CC/Other,,,,,"Do they evaluate whether Project and Management Actions close the gap for current and projected sustainable yield (e.g., overdraft as compared to the projected sustainable yield)? ","No: No mention of sustainable yield or overdraft, or closing the gap through PMAs
Somewhat: PMAs are described to close the gap but are future potential projects
Yes: Planned PMAs are identified as those that close the gap for projected sustainable yield and is demonstrated quantitatively","sustainable yield, overdraft, balance",No,"Over the past 50 years, there is no evidence of basin-wide overdraft.",Page 2-138 / 2.2.12,"Basin is stated not to be in overdraft, and no PMAs reference overdraft/ mitigation overdraft conditions."
CC/Other,,,,,Does the GSP reference / propose any new water markets in the basin?,"No: No new water markets referenced or proposed
Somewhat: no somewhat for this question
Yes: New water markets are referenced or proposed",water market,No,,,No reference to trading/exporting water or pumping credits
CC/Other,,,,,"Does the GSP identify the potential impact of climate change on obtaining/crossing thresholds for Sustainable Management Criteria (e.g., as a driver of undesirable result or potential reason for crossing a minimum threshold)?","No: No impacts from climate change referenced in SMC
Somewhat: References climate change impacts but does not identify as a reason for crossing thresholds
Yes: Explicitly identifies climate change as a reason for obtaining/crossing thresholds for SMC",climate change,Yes,"Potential causes of chronic lowering of groundwater levels vary throughout the Subbasin but can most likely be attributed to increased groundwater pumping during dry periods, reduction in surface water use, reduced groundwater inflows from adjacent areas, and/or climate change related impacts that result in more frequent dry years.
&&
There are many uncertainties associated with directly quantifying and measuring the rate and volume of surface water depletions caused by groundwater use. With the current state of knowledge, the YSGA lacks the ability to directly measure depletion. There are streamflow gages throughout the basin; however, the gages are influenced by many other factors, and surface water management makes it difficult or impossible to see the effects of depletion. Second, separating depletion caused by groundwater from climate signals or other factors is a difficult task.","Page 3-3 / 3.3.1.1
Page 3-22 / 3.6","Climate change acknowledged as a driver of lowering of GW levels. Also acknowledged to have an impact on depletion of ISW, but certainty of CC as a driver not specified"
CC/Other,,,,,"Does the GSP includes details on coordination with water quality control programs (e.g., Regional Water Quality Control Board, CV-Salts)?","No: No mention of RWQCB or it is mentioned but coordination not discussed at all
Somewhat: Recognizes RWQCB as interested party or stakeholder but details of coordination not included
Yes: Coordination between RWQCB and GSA are clearly defined","Regional Water Quality Control Board (RWQCB), CV-Salts",Somewhat,"The Sacramento River Watershed General Order (Order R5-2014-0030-R1) was passed by the Regional Water Quality Control Board (RWQCB) in 2006. This order requires that any irrigated land having the potential to discharge to surface water or groundwater must comply with the requirements set by the RWQCB. Compliance includes membership in a Coalition or obtaining coverage through an individual order through the RWQCB. Several member agencies in the YSGA jurisdiction are members of the Sacramento Valley Water Quality Coalition, which was formed in 2003.",Page 1-23 / 1.5.3.1,"RWQCB acknowledged as an authority on WQ, but no mention of coordination beyond compliance with regulation"
CC/Other,,,,,"How many PMAs are there (total #, including tiers)?","No spectrum, just # of PMAs",,87,,,"12 Management Actions, 75 Projects"
CC/Other,,,,,"Are the PMAs all planned projects?  If not, please elaborate whether projects are proposed and how many are proposed versus planned?","no = all proposed
somewhat = mix of planned and proposed
yes = all planned",,Somewhat,"Note: Level of planning difficult to determine since PMAs are only listed in a table format with a single line for each PMA, so this is an estimate of the ratio of planned:proposed PMAs based on the limited description given",,"48 Planned or ongoing, 39 proposed"
